ROCstory,Inhouse Interestingness Average,Inhouse Creativity Average,Crowdsource Interestingness Average,Crowdsource Creativity Average,Total Interestingness Average,Total Creativity Average,Deltascore(Typo),Deltascore(Jumble),Deltascore(Add_negation),UNIEVAL,CTC,GPTscore_Interestingness,GPTscore_Creativity,StoryER,Deltascore(Engaging Plot transformed),Deltascore(Irony_Transformed),Deltascore(Metaphor and Simile Transformed),Deltascore(Pun Transformed),Deltascore(Sensory Description Transformed),Deltascore(Vivid Writing Style Transformed),ICScore(Llama3 70B),ICScore(Llama3 8B),ICScore(Mistral7B),ICScore(Mixtral 8x7B),ICScore(gemma7b)
Fatima graduated high school. She decided to go to college. Her grades were not good in high school. She went to a community college and did well. She transferred to a large university.,1.5,1.75,2,2.25,1.75,2,3.030544,1.607093,0.169116,0.958811,14.88914,2,2,0.186218,0.686398,1.46656,1.038751,1.427457,1.039017,0.798911,0.715305,0.612175,0.660103,0.561757,0.732174
Kara was on a diet. She had lost a lot of weight. Kara's waist was getting smaller. Her clothes weren't fitting anymore. Kara had to buy new clothes.,1.25,1,1.5,1.75,1.375,1.375,2.901079,1.737729,0.211777,0.993383,16.14194,2,2,0.210135,0.412276,1.368349,1.253588,1.392581,1.343697,1.274761,0.866434,0.518369,0.393211,0.273696,0.546474
Samantha lived by herself in a studio apartment. She got a bill in the mail saying her rent would be increased. Her rent would be increased from $800 a month to $1600. Samantha couldn't afford the rent increase. Samantha had to move to a cheaper apartment.,2,2,3,1.75,2.5,1.875,2.76374,1.256544,0.095486,0.994883,22.62742,2,2,0.176689,0.38584,1.109695,0.562102,0.641086,0.617236,0.388372,0.820794,0.809008,0.685585,0.57152,0.848991
James flew for the first time in his life. He was very scared. The plane experienced some turbulence. James panicked and started to scream. A flight attendant had to calm him down.,3.25,2.5,2.75,2.75,3,2.625,3.853103,1.642139,0.069501,0.996004,12.33191,2,2,0.166626,0.4659,1.085167,0.853023,0.839703,0.553492,0.892509,0.595677,0.346435,0.421292,0.34808,0.510182
Ned was drinking one night. He decided to drive home from the bar. He thought he was sober enough to make it home. But Ned had overestimated himself. He crashed into a tree two blocks away from the bar.,4,4,1.75,2,2.875,3,3.702658,1.009142,0.030691,0.990755,17.20003,2,2,0.175835,0.449299,1.076362,0.731059,1.056286,0.282111,0.475679,0.61689,0.599926,0.402132,0.410266,0.621435
Cathy went to the doctor to get her foot checked out. The doctor's examination showed that the foot was broken. Cathy had to drive to the orthopedist's office to get a cast. Cathy found it very hard to driving home with a cast. Once she was home she sat in a chair and didn't move for 5 hours.,2.5,2.75,2.25,3.5,2.375,3.125,2.839139,0.884125,0.06134,0.992984,27.03656,2,2,0.213429,0.182736,1.052616,0.307972,0.723671,0.097038,0.318983,0.950209,0.387092,0.576301,0.442298,0.736065
Ronald needed new shoes. So Ronald went to the shoe store. Ronald looked for the right shoes. He found the right shoes. Ronald got the shoes and bought it.,1,1,1,1.75,1,1.375,3.034828,1.172847,0.220224,0.811912,15.58496,2,1,0.161074,0.023009,1.007169,0.322999,0.912282,0.099025,0.255324,0.742464,0.557386,0.663888,0.708762,1.018503
Every year my in-laws take my family to Disney World. We stay at one of the resorts right on the grounds. We visit the parks and stay late every night. By the end of the week we are all exhausted and ready to go home. But we are always ready to go back when the next year rolls around.,2.25,1.75,1.5,2.25,1.875,2,3.197624,0.860773,0.09231,0.998873,24.18821,2,2,0.176265,0.953403,0.978384,1.047717,1.07976,0.790682,0.839009,0.909169,0.506678,0.454841,0.403123,0.675766
.Sarah suffered from anxiety Her therapist recommended she get a cat. Sarah looked up several likely shelters and visited them. Sarah adopted a cat. Sarah is much less anxious now.,1.75,1.5,3.25,2.75,2.5,2.125,3.341228,1.186762,0.092779,0.995223,13.68422,3,2,0.199645,1.273677,0.933804,0.743476,0.673486,1.262083,0.996098,0.69782,0.423949,0.40628,0.42896,0.55164
Megan was excited for prom. She didn't have a date though. Billy asked Megan if she would like to go to prom with him. She happily accepted his invitation. Billy and Megan went to the prom and had a wonderful time.,2,2.5,3.75,3.5,2.875,3,3.543883,1.43241,0.145069,0.997205,18.80785,2,2,0.167361,0.591401,0.909879,0.994233,1.201413,0.654715,0.871491,0.559686,0.589252,0.38099,0.403529,0.530091
