story,intereddstingness_1,creativity_1,interestingness_2,creativity_2,interestingness_3,creativity_3,interestingness_4,creativity_4,average_Interestingness,average_Creativity
Jill really wanted to write a song for her boyfriend. She compared lyrics from all her favorite bands. She started to write down lyrics but it didn't seem right. After days and days of work her song was finished. Her boyfriend loved it so much!,3,3,2,3,5,3,1,2,2.75,2.75
"Scott and his class were about to graduate high school. To celebrate they had taken a field trip to the coast. Scott was enjoying his trip but was excited to get it over with. Soon, the trip came to an end. Scott saw this as the official close to his high school story.",2,1,2,1,2,1,1,1,1.75,1
The man mixed a drink. It tasted very good. His friend asked for one. The man made his friend a drink. His friend gave the drink it's own name.,1,2,1,2,1,3,2,3,1.25,2.5
"Maggie read a story in the news about a boy raised by wolves. She thought it was a very interesting story. Using the internet, Maggie found similar stories of other people too. She spent the next hour learning about different feral children. By the end, Maggie was an expert on the topic.",3,3,3,4,2,2,3,2,2.75,2.75
Kelsi was nervous to go on her first hot air balloon ride. She got some friends together and they went on the balloon. The balloon inched higher in the air and Kelsi tensed up. The view was amazing from high in the air. Kelsi was happy she went on the ride after all.,2,2,2,3,2,1,4,5,2.5,2.75
.Sarah suffered from anxiety Her therapist recommended she get a cat. Sarah looked up several likely shelters and visited them. Sarah adopted a cat. Sarah is much less anxious now.,1,1,2,1,1,1,3,3,1.75,1.5
Will has always wanted to visit Paraguay but he doesn't speak Spanish. He decides to enroll in a local class. He practices Spanish every day for one year. Now Will is a great Spanish speaker. He feels ready for his trip to Paraguay now that he can speak Spanish.,2,1,2,2,2,2,2,1,2,1.5
"When we went to get on the go carts, we were stopped. The attendee said we had to wear appropriate shoes. My son was wearing flip flops. Thankfully he was kind and let our son borrow his shoes. We said thank you and our son enjoyed the ride.",4,4,4,4,3,3,3,1,3.5,3
Alex was home sick from school. He awoke to see his Grandma in the kitchen. Alex was happy she came to take care of him. Grandma put Vicks on his chest and gave him ginger ale. Grandma was better than dad at taking care of sick kids.,1,2,2,1,2,2,4,4,2.25,2.25
"Colin and Jo were having problems in their marriage. Jo felt that Colin worked too much. On the other hand, Colin felt that Jo didn't appreciate his work. After seeing a marriage counsellor, Jo felt that it was too late. She filed for a divorce because she didn't love him anymore.",4,5,3,4,4,4,5,4,4,4.25
"Once upon a time there lived a man. He was alone, and cold, in a rundown apartment complex. Suddenly, there was a loud sound. He was scared because he was all alone and startled. He was relieved when it was just a stray cat making a lot of noise.",3,4,4,5,3,4,1,3,2.75,4
"I took my girlfriend to a new arcade that opened up around the town. When he got inside the place, a bunch of kids were wandering around. We also didn't get the chance to sit down since the place was crowded. The waiter told us to be patient. However, we decided to leave and look for an empty restaurant.",3,4,3,3,2,2,1,1,2.25,2.5
I had a task to do. It was very complicated. I could not focus on the task. I drank a cup of coffee to help. I was able to work on the task.,1,1,1,1,1,1,1,1,1,1
Kelly was excited to get a new handbag. She searched everywhere for a black bag. She was very particular. She finally found a Marc Jacobs bag at Bloomingdales. She immediately picked it up.,1,1,1,1,1,1,2,1,1.25,1
"Tim's tooth was hurting like crazy. He could barely eat or drink. His dentist took a look around in his mouth. One of his teeth was rotten. Once the tooth was pulled, Tim felt fine.",1,1,1,1,1,1,4,4,1.75,1.75
Tom was dating a girl with a twin. One night they tried to pull a trick on him. They switched places to see if he would notice. Tom noticed right away. He wasn't fooled for even a minute.,5,5,5,5,5,5,5,5,5,5
"Hank cried as I tied him to the rails. He called me stupid and some rather profane names. I listened as he sneered that the line had been abandoned for Years. I started to walk away, but paused to look back at Hank. I informed him that of course I knew, no one comes here, at all.",4,5,5,5,4,5,5,5,4.5,5
"Arthur wanted to start impressing girls. He persuaded his mother to buy him a gold necklace. She bought it and he wore the necklace with pride. But it attracted more guys than girls. Finally, a guy with a group of guys snatched it from Arthur's neck.",5,5,5,5,5,5,5,5,5,5
The teacher ran over and turned off the tv. She told us to go back to class. The kids started asking what had happened. She said she wasn't sure but it would be okay. It was years before I understood what we had watched.,5,5,4,3,5,5,5,5,4.75,4.5
Sal needed a new car. He had no idea what he wanted. He went to the dealership. He took test drives. Sal now has a better idea.,1,1,1,1,1,1,1,2,1,1.25
Emily loves chewing on ice. She fills up a cup full of ice every night. The ice got stuck on her finger! She had to rip it off. Now she pours water over the ice before touching it.,1,2,4,4,4,4,2,4,2.75,3.5
"Anna squeezed into her favorite old jeans. They were a few sizes too small. She managed to zip them, though, so she thought it was okay. But when she crouched later, the jeans ripped! Anna wished she hadn't worn such tight jeans.",5,4,5,4,5,5,5,3,5,4
"Avery is going to the zoo for the first time today! When she gets to the zoo, she heads to see the bear first. The bear is nowhere to be found! She finds the bear in the monkey cage where he doesn't belong! She watches as the zookeepers carefully get the bear back to his cage!",5,5,5,5,3,4,4,5,4.25,4.75
"Sally drives everyday to work. This day was very rainy. The tires on her car were very bald. She had to stop suddenly for a kitten crossing the road. Luckily she stopped in time, but almost hit the kitten.",4,5,4,3,3,3,3,2,3.5,3.25
Marion was about to move. She was cleaning her house up before the move. She opened up a closet that had been closed for a year. Inside was a bag with some sort of goo on it. She decided to just leave it.,4,5,3,2,4,3,5,5,4,3.75
Fatima graduated high school. She decided to go to college. Her grades were not good in high school. She went to a community college and did well. She transferred to a large university.,1,2,1,1,3,3,1,1,1.5,1.75
"Kat was excited for Christmas. In the weeks before the holiday, she decorated her house. She shopped for gifts for her loved ones. Kat celebrated Christmas with her family and friends. Kat had a fun and festive holiday.",2,1,1,1,1,1,1,1,1.25,1
Megan was excited for prom. She didn't have a date though. Billy asked Megan if she would like to go to prom with him. She happily accepted his invitation. Billy and Megan went to the prom and had a wonderful time.,2,3,2,2,2,2,2,3,2,2.5
Tammy and Jane sat down to play a board game. Tammy kept winning each game. They decided to make a rule so Tammy would have a harder time. The next game was much closer. The game after that Jane had won.,3,4,4,2,3,4,3,3,3.25,3.25
"Susie went to this new restaurant. She was excited to go. All of the sudden though, her order was late. Susie was rather upset. Susie never wanted to go back.",2,1,1,2,1,3,4,4,2,2.5
"He had a craving for chicken. He wanted to try the fast food place he saw. He said he didn't agree with their beliefs. Still, he decided to try it. He ate a grilled chicken sandwich and loved it.",2,2,4,4,2,2,3,3,2.75,2.75
