story,genre,interestingness,creativity_c,,interestingness,creativity,,interestingness,creativity,,interestingness,creativity,,afc,acc
Jill really wanted to write a song for her boyfriend. She compared lyrics from all her favorite bands. She started to write down lyrics but it didn't seem right. After days and days of work her song was finished. Her boyfriend loved it so much!,rocstories,4,5,,2,1,,3,2,,1,1,,2.5,2.25
"Scott and his class were about to graduate high school. To celebrate they had taken a field trip to the coast. Scott was enjoying his trip but was excited to get it over with. Soon, the trip came to an end. Scott saw this as the official close to his high school story.",rocstories,2,3,,2,2,,1,1,,5,4,,2.5,2.5
The man mixed a drink. It tasted very good. His friend asked for one. The man made his friend a drink. His friend gave the drink it's own name.,rocstories,4,4,,4,4,,2,2,,2,1,,3,2.75
"Maggie read a story in the news about a boy raised by wolves. She thought it was a very interesting story. Using the internet, Maggie found similar stories of other people too. She spent the next hour learning about different feral children. By the end, Maggie was an expert on the topic.",rocstories,3,3,,5,4,,2,2,,4,4,,3.5,3.25
Kelsi was nervous to go on her first hot air balloon ride. She got some friends together and they went on the balloon. The balloon inched higher in the air and Kelsi tensed up. The view was amazing from high in the air. Kelsi was happy she went on the ride after all.,rocstories,1,3,,4,3,,2,2,,2,4,,2.25,3
.Sarah suffered from anxiety Her therapist recommended she get a cat. Sarah looked up several likely shelters and visited them. Sarah adopted a cat. Sarah is much less anxious now.,rocstories,2,2,,5,2,,2,3,,4,4,,3.25,2.75
Will has always wanted to visit Paraguay but he doesn't speak Spanish. He decides to enroll in a local class. He practices Spanish every day for one year. Now Will is a great Spanish speaker. He feels ready for his trip to Paraguay now that he can speak Spanish.,rocstories,5,2,,4,3,,5,5,,2,2,,4,3
"When we went to get on the go carts, we were stopped. The attendee said we had to wear appropriate shoes. My son was wearing flip flops. Thankfully he was kind and let our son borrow his shoes. We said thank you and our son enjoyed the ride.",rocstories,2,5,,5,3,,3,3,,3,2,,3.25,3.25
Alex was home sick from school. He awoke to see his Grandma in the kitchen. Alex was happy she came to take care of him. Grandma put Vicks on his chest and gave him ginger ale. Grandma was better than dad at taking care of sick kids.,rocstories,3,1,,5,4,,4,3,,2,2,,3.5,2.5
"Colin and Jo were having problems in their marriage. Jo felt that Colin worked too much. On the other hand, Colin felt that Jo didn't appreciate his work. After seeing a marriage counsellor, Jo felt that it was too late. She filed for a divorce because she didn't love him anymore.",rocstories,1,1,,5,4,,4,3,,5,4,,3.75,3
"Once upon a time there lived a man. He was alone, and cold, in a rundown apartment complex. Suddenly, there was a loud sound. He was scared because he was all alone and startled. He was relieved when it was just a stray cat making a lot of noise.",rocstories,3,1,,5,5,,4,4,,5,5,,4.25,3.75
"I took my girlfriend to a new arcade that opened up around the town. When he got inside the place, a bunch of kids were wandering around. We also didn't get the chance to sit down since the place was crowded. The waiter told us to be patient. However, we decided to leave and look for an empty restaurant.",rocstories,5,2,,3,2,,3,3,,5,4,,4,2.75
I had a task to do. It was very complicated. I could not focus on the task. I drank a cup of coffee to help. I was able to work on the task.,rocstories,5,4,,4,3,,1,1,,1,4,,2.75,3
Kelly was excited to get a new handbag. She searched everywhere for a black bag. She was very particular. She finally found a Marc Jacobs bag at Bloomingdales. She immediately picked it up.,rocstories,4,2,,1,3,,2,3,,2,2,,2.25,2.5
"Tim's tooth was hurting like crazy. He could barely eat or drink. His dentist took a look around in his mouth. One of his teeth was rotten. Once the tooth was pulled, Tim felt fine.",rocstories,3,5,,2,2,,2,2,,1,2,,2,2.75
Tom was dating a girl with a twin. One night they tried to pull a trick on him. They switched places to see if he would notice. Tom noticed right away. He wasn't fooled for even a minute.,rocstories,4,1,,5,5,,5,5,,3,2,,4.25,3.25
"Hank cried as I tied him to the rails. He called me stupid and some rather profane names. I listened as he sneered that the line had been abandoned for Years. I started to walk away, but paused to look back at Hank. I informed him that of course I knew, no one comes here, at all.",rocstories,2,4,,5,5,,5,5,,5,5,,4.25,4.75
"Arthur wanted to start impressing girls. He persuaded his mother to buy him a gold necklace. She bought it and he wore the necklace with pride. But it attracted more guys than girls. Finally, a guy with a group of guys snatched it from Arthur's neck.",rocstories,2,4,,3,5,,2,4,,1,5,,2,4.5
The teacher ran over and turned off the tv. She told us to go back to class. The kids started asking what had happened. She said she wasn't sure but it would be okay. It was years before I understood what we had watched.,rocstories,1,1,,5,5,,5,4,,5,5,,4,3.75
Sal needed a new car. He had no idea what he wanted. He went to the dealership. He took test drives. Sal now has a better idea.,rocstories,3,2,,5,5,,1,1,,1,2,,2.5,2.5
Emily loves chewing on ice. She fills up a cup full of ice every night. The ice got stuck on her finger! She had to rip it off. Now she pours water over the ice before touching it.,rocstories,4,3,,4,3,,2,3,,2,2,,3,2.75
"Anna squeezed into her favorite old jeans. They were a few sizes too small. She managed to zip them, though, so she thought it was okay. But when she crouched later, the jeans ripped! Anna wished she hadn't worn such tight jeans.",rocstories,3,5,,2,2,,4,5,,1,3,,2.5,3.75
"Avery is going to the zoo for the first time today! When she gets to the zoo, she heads to see the bear first. The bear is nowhere to be found! She finds the bear in the monkey cage where he doesn't belong! She watches as the zookeepers carefully get the bear back to his cage!",rocstories,5,2,,5,5,,3,4,,4,5,,4.25,4
"Sally drives everyday to work. This day was very rainy. The tires on her car were very bald. She had to stop suddenly for a kitten crossing the road. Luckily she stopped in time, but almost hit the kitten.",rocstories,2,3,,2,5,,1,3,,4,5,,2.25,4
Marion was about to move. She was cleaning her house up before the move. She opened up a closet that had been closed for a year. Inside was a bag with some sort of goo on it. She decided to just leave it.,rocstories,5,4,,4,2,,5,5,,5,5,,4.75,4
Fatima graduated high school. She decided to go to college. Her grades were not good in high school. She went to a community college and did well. She transferred to a large university.,rocstories,1,1,,2,1,,1,3,,4,4,,2,2.25
"Kat was excited for Christmas. In the weeks before the holiday, she decorated her house. She shopped for gifts for her loved ones. Kat celebrated Christmas with her family and friends. Kat had a fun and festive holiday.",rocstories,1,3,,4,3,,3,4,,3,3,,2.75,3.25
Megan was excited for prom. She didn't have a date though. Billy asked Megan if she would like to go to prom with him. She happily accepted his invitation. Billy and Megan went to the prom and had a wonderful time.,rocstories,5,5,,5,4,,1,2,,4,3,,3.75,3.5
Tammy and Jane sat down to play a board game. Tammy kept winning each game. They decided to make a rule so Tammy would have a harder time. The next game was much closer. The game after that Jane had won.,rocstories,4,1,,5,5,,4,4,,2,1,,3.75,2.75
"Susie went to this new restaurant. She was excited to go. All of the sudden though, her order was late. Susie was rather upset. Susie never wanted to go back.",rocstories,5,4,,2,3,,2,3,,1,2,,2.5,3
"He had a craving for chicken. He wanted to try the fast food place he saw. He said he didn't agree with their beliefs. Still, he decided to try it. He ate a grilled chicken sandwich and loved it.",rocstories,3,1,,5,5,,4,5,,4,5,,4,4
Kelly was asked by her neighbors to come babysit. Kelly liked babysitting but the kids were unruly. They were always crying and whining. When Kelly arrived the kids were unbearable. Thankfully they ended up calming down after a snack.,rocstories,5,3,,4,5,,2,1,,4,1,,3.75,2.5
"Holly wanted to go to the beach. On the way, she stopped and picked up her boyfriend. Once there, they found a secluded spot away from kids playing. Her boyfriend put lotion on her back. After two hours of tanning, they left to have lunch.",rocstories,3,5,,3,2,,3,2,,3,2,,3,2.75
"My wife's coworker came to a party last weekend. She brought her husband. The group sat and talked, her husband a way off. Her husband moved to be closer to her, and she was pleased. He said he moved as he could not hear the conversation.",rocstories,4,2,,4,3,,1,1,,4,3,,3.25,2.25
"Crystal is a professional babysitter. One day, she had to watch over a pair of rambunctious toddlers. She turned her back for a moment and the kids made a mess. Frustrated, Crystal quickly cleaned up the mess. When the parents got home, Crystal was exhausted from her day.",rocstories,3,5,,3,5,,5,4,,3,1,,3.5,3.75
Dan was the team basketball star at his school. This game determined who would go on to state finals. Dan and his team mates played with all their heart. The game was tied when Dan shot the last basket hoping to make it. The team won by two points and went on to state finals.,rocstories,5,1,,4,3,,4,4,,5,4,,4.5,3
My friends and I decided to drive to a music festival 3 hours away. After the show we decided not to get a hotel room. The hotel rooms available were either expensive or not clean. So we decided to just forgo sleep and just drive home. We talked and laughed the entire drive and had a great time.,rocstories,4,4,,3,2,,4,4,,4,4,,3.75,3.5
Jane's cat ran out the door one day. She went out looking for him. After an hour she went back home. Her cat was waiting by the door for her. Jane laughed a bit and let him in.,rocstories,5,4,,1,2,,3,2,,4,4,,3.25,3
"Carla was enjoying her nutritional drink. She told Janice to try out the drink. Janice had a sip and gave a good comment on it. Unfortunately, she caught a bad stomach ache an hour later. She was stuck in the bathroom for a while.",rocstories,4,2,,2,2,,3,4,,2,4,,2.75,3
A thief tried to approach an old lady in the street. He didn't realize that she's a kung fu mentor. She was able to knock him out. He fell on the floor. The police officers came and tool him to jail.,rocstories,2,1,,5,2,,5,5,,4,5,,4,3.25
Allie went to the drive in. But she got bored. So she took out her phone. But there was no service. She was very annoyed.,rocstories,4,3,,1,2,,1,1,,5,2,,2.75,2
"Cathy loved to play tennis. However, her serve was terrible. She finally decided to start taking lessons. Her swing started to show improvement. Cathy was glad she was able to hit better.",rocstories,1,2,,3,2,,1,1,,1,1,,1.5,1.5
"My niece has a 12-year old daughter, Mary. Mary wanted a pet guinea pig. Her mom bought her two. They had six babies. My niece just bought a huge cage to house the guinea pigs.",rocstories,2,1,,3,3,,2,2,,4,5,,2.75,2.75
"I used to use a lawn service to fertilize my grass. After 2 years, I was still getting weeds and clover. I figured out how much I had paid the service over the years. It really was cheaper to fertilize my own lawn. My lawn looks a lot better now.",rocstories,1,5,,2,1,,3,4,,2,5,,2,3.75
Tina moved into the new apartment complex. She had just finished unpacking when she heard some noise. She then saw a mouse scurrying to hide in the bathroom. Tina promptly called the landlord. The landlord called the exterminators to fumigate the unit.,rocstories,3,2,,3,4,,2,2,,4,4,,3,3
